,,song,singer,urls
1974,14,You Make Me Feel Brand New,The Stylistics,https://www.youtube.com/watch?v=dJm51jsRoo0
1974,15,Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok
1974,16,Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ
1974,17,Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI
1974,18,Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE
1974,19,Sideshow,Blue Magic,https://www.youtube.com/watch?v=_Rs3vqF3nPo
1974,20,Hooked on a Feeling,Blue Swede,https://www.youtube.com/watch?v=w5jkAkm4JmM
1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,https://www.youtube.com/watch?v=AjilwTUGE5g
1974,22,Band on the Run,Paul McCartney and Wings,https://www.youtube.com/watch?v=RjlvdcBAKdg
1974,23,The Most Beautiful Girl,Charlie Rich,https://www.youtube.com/watch?v=Ew60rig0Ej4
1974,24,Time in a Bottle,Jim Croce,https://www.youtube.com/watch?v=3yiYsbQ6oEo
1974,25,Annie's Song,John Denver,https://www.youtube.com/watch?v=eMCihEW3Tlc
1974,26,Let Me Be There,Olivia Newton-John,https://www.youtube.com/watch?v=rR8hCFfvZPk
1974,27,Sundown,Gordon Lightfoot,https://www.youtube.com/watch?v=YdBU-jpJJtA
1974,28,(You're) Having My Baby,Paul Anka,https://www.youtube.com/watch?v=SFHWl-ZyRAg
1974,29,Rock Me Gently,Andy Kim,https://www.youtube.com/watch?v=e00sWHSGfqQ
1974,30,Boogie Down,Eddie Kendricks,https://www.youtube.com/watch?v=OpU5ZTYlp1A
1974,31,You're Sixteen,Ringo Starr,https://www.youtube.com/watch?v=1U32szYVAY8
1974,32,If You Love Me (Let Me Know),Olivia Newton-John,https://www.youtube.com/watch?v=dkMkHpKpLkM
1974,33,Dark Lady,Cher,https://www.youtube.com/watch?v=JXUH7Wk8-WI
1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,https://www.youtube.com/watch?v=8FT5QF4JZUA
1974,35,Feel Like Makin' Love,Roberta Flack,https://www.youtube.com/watch?v=xVybozv_L3M
1974,36,Just Don't Want to Be Lonely,The Main Ingredient,https://www.youtube.com/watch?v=MWCixfAT-3I
1974,37,Nothing from Nothing,Billy Preston,https://www.youtube.com/watch?v=IX2bE-OBtwk
1974,38,Rock Your Baby,George McCrae,https://www.youtube.com/watch?v=arxhW1RgDDo
1974,39,Top of the World,The Carpenters,https://www.youtube.com/watch?v=SKyrZiKVRvU
1974,40,The Joker,Steve Miller Band,https://www.youtube.com/watch?v=dV3AziKTBUo
1974,41,I've Got to Use My Imagination,Gladys Knight & the Pips,https://www.youtube.com/watch?v=3i6mp6tBGZY
1974,42,The Show Must Go On,Three Dog Night,https://www.youtube.com/watch?v=xtAlzo_pqys
1974,43,Rock the Boat,The Hues Corporation,https://www.youtube.com/watch?v=t3w9RyL2tG0
1974,44,Smokin' in the Boys Room,Brownsville Station,https://www.youtube.com/watch?v=nK-hzAyTgn0
1974,45,Living for the City,Stevie Wonder,https://www.youtube.com/watch?v=7_RgaYueeh4
1974,46,Then Came You,"Dionne Warwick,The Spinners,",https://www.youtube.com/watch?v=L_PzcgyqMwE
1974,47,The Night Chicago Died,Paper Lace,https://www.youtube.com/watch?v=p-L0NpaErkk
1974,48,The Entertainer,Marvin Hamlisch,https://www.youtube.com/watch?v=XhFbKnXVg30
1974,49,Waterloo,ABBA,https://www.youtube.com/watch?v=3FsVeMz1F5c
1974,50,The Air That I Breathe,The Hollies,https://www.youtube.com/watch?v=70rm31ClOiE
1975,1,Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o
1975,2,Rhinestone Cowboy,Glen Campbell,https://www.youtube.com/watch?v=8kAU3B9Pi_U
1975,3,Philadelphia Freedom,Elton John,https://www.youtube.com/watch?v=hwcmvKvc91Q
1975,4,Before the Next Teardrop Falls,Freddy Fender,https://www.youtube.com/watch?v=xsCTKMwvK20
1975,5,My Eyes Adored You,Frankie Valli,https://www.youtube.com/watch?v=vYtpKBNTCB8
1975,6,Some Kind of Wonderful,Grand Funk Railroad,https://www.youtube.com/watch?v=dxEKa4dlKVw
1975,7,Shining Star,"Earth, Wind & Fire",https://www.youtube.com/watch?v=Zu9a29UR2dU
1975,8,Fame,David Bowie,https://www.youtube.com/watch?v=9tnRWcEg6i8
1975,9,Laughter in the Rain,Neil Sedaka,https://www.youtube.com/watch?v=MtIibcNDQ6o
1975,10,One of These Nights,Eagles,https://www.youtube.com/watch?v=ESc2Tq2HzhQ
1975,11,Thank God I'm a Country Boy,John Denver,https://www.youtube.com/watch?v=Un76G6mZgCY
1975,12,Jive Talkin',Bee Gees,https://www.youtube.com/watch?v=oALKAh_bL5g
1975,13,Best of My Love,Eagles,https://www.youtube.com/watch?v=iU-wXrdh-8U
1975,14,Lovin' You,Minnie Riperton,https://www.youtube.com/watch?v=K7MqTrXwojk
1975,15,Kung Fu Fighting,Carl Douglas,https://www.youtube.com/watch?v=RqIw42FL3l0
1975,16,Black Water,The Doobie Brothers,https://www.youtube.com/watch?v=m4oZCtfmh44
1975,17,The Ballroom Blitz,Sweet,https://www.youtube.com/watch?v=tqketmsRz1E
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,https://www.youtube.com/watch?v=QyrRYIrhLL0
1975,19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,https://www.youtube.com/watch?v=Iak3KnPVZ94
1975,20,At Seventeen,Janis Ian,https://www.youtube.com/watch?v=VMUz2TNMvL0
1975,21,Pick Up the Pieces,Average White Band,https://www.youtube.com/watch?v=xpflST8xWm8
1975,22,The Hustle,Van McCoy & the Soul City Symphony,https://www.youtube.com/watch?v=wj23_nDFSfE
1975,23,Lady Marmalade,Labelle,https://www.youtube.com/watch?v=t4LWIP7SAjY
1975,24,Why Can't We Be Friends?,War,https://www.youtube.com/watch?v=sH0Qda32IKM
1975,25,Love Won't Let Me Wait,Major Harris,https://www.youtube.com/watch?v=zG9K0x5MGDc
1975,26,Boogie On Reggae Woman,Stevie Wonder,https://www.youtube.com/watch?v=MkmlHBf3Yak
1975,27,Wasted Days and Wasted Nights,Freddy Fender,https://www.youtube.com/watch?v=ZGN5Bn7EKN4
1975,28,Angie Baby,Helen Reddy,https://www.youtube.com/watch?v=UQKyGt_I5L4
1975,29,Fight the Power,The Isley Brothers,https://www.youtube.com/watch?v=8QZvoOqUkqw
1975,30,Jackie Blue,Ozark Mountain Daredevils,https://www.youtube.com/watch?v=Qr0hcoksupQ
1975,31,Fire,Ohio Players,https://www.youtube.com/watch?v=zRtajmICBnU
1975,32,Magic,Pilot,https://www.youtube.com/watch?v=MzlK0OGpIRs
1975,33,Please Mr. Postman,The Carpenters,https://www.youtube.com/watch?v=AHfddvbKb4w
1975,34,Sister Golden Hair,America,https://www.youtube.com/watch?v=XIycEe59Auc
1975,35,Lucy in the Sky with Diamonds,Elton John,https://www.youtube.com/watch?v=zJtAAg_jAjk
1975,36,Mandy,Barry Manilow,https://www.youtube.com/watch?v=AvGpvQbkccE
1975,37,Have You Never Been Mellow,Olivia Newton-John,https://www.youtube.com/watch?v=t2S1nmxYmUg
1975,38,Could It Be Magic,Barry Manilow,https://www.youtube.com/watch?v=UC7oRmafIVQ
1975,39,Cat's in the Cradle,Harry Chapin,https://www.youtube.com/watch?v=gTP7NEZDQr8
1975,40,Wildfire,Michael Martin Murphey,https://www.youtube.com/watch?v=8raV2MZQJjk
1975,41,I'm Not Lisa,Jessi Colter,https://www.youtube.com/watch?v=ZOgTVJOdFVU
1975,42,Listen to What the Man Said,Wings,https://www.youtube.com/watch?v=YxslbXDBmaY
1975,43,I'm Not in Love,10cc,https://www.youtube.com/watch?v=STugQ0X1NoI
1975,44,I Can Help,Billy Swan,https://www.youtube.com/watch?v=tBBw1MEOMWI
