year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1990,42,Back to Life (However Do You Want Me),"Soul II Soul,Caron Wheeler,",https://www.youtube.com/watch?v=TB54dZkzZOY,1,101.003,G Major,Back To Life (However Do You Want Me),"Soul II Soul, Caron Wheeler"
1991,42,I'm Your Baby Tonight,Whitney Houston,https://www.youtube.com/watch?v=T8EqaGTNe50,1,165.16,Gb Major,I'm Your Baby Tonight,Whitney Houston
1992,42,Make It Happen,Mariah Carey,https://www.youtube.com/watch?v=-Q6xx0JfMBI,1,107.853,D Minor,Make It Happen,Mariah Carey
1993,42,I Don't Wanna Fight,Tina Turner,https://www.youtube.com/watch?v=YvtlarpwTUA,0,,,,
1994,42,Whoomp! (There It Is),Tag Team,https://www.youtube.com/watch?v=G8RsYKX-UgQ,0,,,,
1995,42,I'll Be There for You/You're All I Need to Get By,"Method Man,Mary J. Blige,",https://www.youtube.com/watch?v=abJeoBXixsk,1,95.02,E Minor,I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,"Method Man, Mary J. Blige"
1996,42,No Diggity,"Blackstreet,Dr. Dre,",https://www.youtube.com/watch?v=3KL9mRus19o,1,88.634,Db Minor,No Diggity,"Blackstreet, Dr. Dre, Queen Pen"
1997,42,Mouth,Merril Bainbridge,https://www.youtube.com/watch?v=JCO92__Zn-8,1,175.896,Db Major,Mouth,Merril Bainbridge
1998,42,Never Ever,All Saints,https://www.youtube.com/watch?v=nPXqkjpXZ_k,0,,,,
1999,42,Mambo No. 5,Lou Bega,https://www.youtube.com/watch?v=EK_LN3XEcnw,1,174.06,F Minor,Mambo No. 5 (a Little Bit of...),Lou Bega
2000,42,I Turn to You,Christina Aguilera,https://www.youtube.com/watch?v=8E7yYNGIKvk,0,,,,
2001,42,Bootylicious,Destiny's Child,https://www.youtube.com/watch?v=IyYnnUcgeMc,1,103.376,Db Minor,Bootylicious,Destiny's Child
2002,42,No Such Thing,John Mayer,https://www.youtube.com/watch?v=H1W2UddURXI,0,,,,
2003,42,Beautiful,"Snoop Dogg,Pharrell,Charlie Wilson,",https://www.youtube.com/watch?v=_FE194VN6c4,0,,,,
2004,42,Splash Waterfalls,Ludacris,https://www.youtube.com/watch?v=w_sTTvyiiPo,1,145.894,B Major,Splash Waterfalls,Ludacris
2005,42,Run It!,"Chris Brown,Juelz Santana,",https://www.youtube.com/watch?v=w6QGe-pXgdI,0,,,,
2006,42,My Humps,The Black Eyed Peas,https://www.youtube.com/watch?v=iEe_eraFWWs,0,,,,
2007,42,Last Night,"Diddy,Keyshia Cole,",https://www.youtube.com/watch?v=AxFhwtwiw6o,1,120.999,Eb Minor,Last Night (feat. Keyshia Cole) - Radio Edit,"P. Diddy, Keyshia Cole"
2008,42,Damaged,Danity Kane,https://www.youtube.com/watch?v=P8IBg0mVJ5Y,0,,,,
2009,42,Mad,Ne-Yo,https://www.youtube.com/watch?v=sAYuOc7_TKg,1,129.993,C Major,Mad,Ne-Yo
2010,42,Bulletproof,La Roux,https://www.youtube.com/watch?v=Kk8eJh4i8Lo,1,123.017,Eb Minor,Bulletproof,La Roux
2011,42,Just a Kiss,Lady Antebellum,https://www.youtube.com/watch?v=v_yTphvyiPU,0,,,,
2012,42,Feel So Close,Calvin Harris,https://www.youtube.com/watch?v=dGghkjpNCQ8,0,,,,
2013,42,Beauty and a Beat,"Justin Bieber,Nicki Minaj,",https://www.youtube.com/watch?v=Ys7-6_t7OEQ,0,,,,
2014,42,Don't Tell 'Em,"Jeremih,YG,",https://www.youtube.com/watch?v=MqyCoAgiGnI,0,,,,
2015,42,FourFiveSeconds,"Rihanna,Kanye West,Paul McCartney,",https://www.youtube.com/watch?v=kt0g4dWxEBo,0,,,,
2016,42,Like I'm Gonna Lose You,"Meghan Trainor,John Legend,",https://www.youtube.com/watch?v=Dqut0vJhPIw,1,108.038,C Major,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend"
2017,42,Paris,The Chainsmokers,https://www.youtube.com/watch?v=RhU9MZ98jxo,1,99.99,D Major,Paris,The Chainsmokers
2018,42,Sicko Mode,Travis Scott,https://www.youtube.com/watch?v=6ONRf7h3Mdk,1,155.008,Ab Major,SICKO MODE,Travis Scott
2019,42,A Lot,21 Savage,https://www.youtube.com/watch?v=DmWWqogr_r8,1,145.972,Db Major,a lot,21 Savage
2020,42,Woah,Lil Baby,https://www.youtube.com/watch?v=nUEqPtVGIpE,0,,,,
2021,42,Wockesha,Moneybagg Yo,https://www.youtube.com/watch?v=6bN45f9NjlA,0,,,,
2022,42,Levitating,Dua Lipa,https://www.youtube.com/watch?v=j2c3tR_qfiQ,1,102.977,Gb Minor,Levitating (feat. DaBaby),"Dua Lipa, DaBaby"
1973,43,If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps,0,,,,
1974,43,Rock the Boat,The Hues Corporation,https://www.youtube.com/watch?v=t3w9RyL2tG0,0,,,,
1975,43,I'm Not in Love,10cc,https://www.youtube.com/watch?v=STugQ0X1NoI,1,133.738,E Major,I'm Not In Love,10cc
1976,43,Theme from ,Diana Ross,https://www.youtube.com/watch?v=eS-GcJEsTBo,1,139.492,C Minor,Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross
1977,43,Lucille,Kenny Rogers,https://www.youtube.com/watch?v=nLFVyI-11Sg,1,142.46,F Major,Lucille,Kenny Rogers
1978,43,Our Love,Natalie Cole,https://www.youtube.com/watch?v=yDKyQk8A3Dk,1,68.897,C Major,Our Love Is Here To Stay,Natalie Cole
1979,43,Heaven Must Have Sent You,Bonnie Pointer,https://www.youtube.com/watch?v=mTqiKeyXQlM,1,128.613,C Major,Heaven Must Have Sent You,Bonnie Pointer
1980,43,Send One Your Love,Stevie Wonder,https://www.youtube.com/watch?v=jMvVYCV-d8E,0,,,,
1981,43,You Make My Dreams,Hall & Oates,https://www.youtube.com/watch?v=EErSKhC0CZs,0,,,,
1982,43,That Girl,Stevie Wonder,https://www.youtube.com/watch?v=eagQKwVendA,1,106.979,Gb Major,That Girl,Stevie Wonder
1983,43,Allentown,Billy Joel,https://www.youtube.com/watch?v=BHnJp0oyOxs,1,113.817,G Major,Allentown,Billy Joel
1984,43,Union of the Snake,Duran Duran,https://www.youtube.com/watch?v=n6p5Q6_JBes,0,,,,
1985,43,Freeway of Love,Aretha Franklin,https://www.youtube.com/watch?v=Ip_pjb5_fgA,1,126.509,D Major,Freeway Of Love,Aretha Franklin
1986,43,What Have You Done For Me Lately,Janet Jackson,https://www.youtube.com/watch?v=r9uizdKZAGE,1,114.045,Db Major,What Have You Done For Me Lately,Janet Jackson
1987,43,You Got It All,The Jets,https://www.youtube.com/watch?v=1a7dN52k_r0,0,,,,
1988,43,I Don't Wanna Go on with You Like That,Elton John,https://www.youtube.com/watch?v=kaJRvZZBnX8,0,,,,
1989,43,"Once Bitten, Twice Shy",Great White,https://www.youtube.com/watch?v=cTBIKNCsOXU,0,,,,
1990,43,Here and Now,Luther Vandross,https://www.youtube.com/watch?v=0u_u4nlYmNs,1,74.967,G Major,Here and Now,Luther Vandross
1991,43,Love of a Lifetime,FireHouse,https://www.youtube.com/watch?v=olaoOiEltqU,0,,,,
